name,hourly rate,title,location
Marko J.,"$15.00
/hr",VA with graphic design and business analysts skills,Serbia
Subhadarshini R.,"$4.00
/hr",Research Analyst,India
Lara Claudette S.,"$40.00
/hr",Market Research Analyst,Philippines
Evan M.,"$45.00
/hr",Operations Research Analyst & Data Scientist,United States
Joseph E.,"$5.99
/hr","Working as analyst, excel jobs using advanced formulas/images editing",Philippines
Marko J.,"$15.00
/hr",VA with graphic design and business analysts skills,Serbia
Raffi S.,"$12.00
/hr",Business Analyst,Armenia
Harrison H.,"$50.00
/hr",Statistical Analyst,United States
Muhammad A.,"$15.00
/hr",Data Analyst,Pakistan
Richard Lester T.,"$3.00
/hr",Workforce Analyst,Philippines
Adel H.,"$15.00
/hr",Data Analyst,Russia
Subhadarshini R.,"$4.00
/hr",Research Analyst,India
Irish May T.,"$5.00
/hr",Reports Analyst,Philippines
Josh H.,"$90.00
/hr",Business Intelligence Analyst,United States
Lara Claudette S.,"$40.00
/hr",Market Research Analyst,Philippines
Sherri-Ann W.,"$38.00
/hr",Market Research Analyst,Jamaica
Gladys A.,"$20.00
/hr",Mechanical Engineer turned Data Analyst,Philippines
Jade Ralden Y.,"$4.00
/hr",Data entry,Philippines
Evan M.,"$45.00
/hr",Operations Research Analyst & Data Scientist,United States
Leah N.,"$40.00
/hr",Exerienced Data Analyst and Business Strategist,United States
Julia M.,"$50.00
/hr",Experienced Management Consultant and Data Analyst,United States
Bojan R.,"$15.00
/hr","Data Analyst, Market researcher",Serbia
King Chester C.,"$27.00
/hr",Researcher | Data analyst,Philippines
Zaynab M.,"$15.00
/hr",Translator / Copywriter / Data Analyst,Morocco
Gourab C.,"$20.00
/hr",Digital Data Marketing Analyst,India
Tanuja K.,"$3.50
/hr",Data/Web Research Analyst,India
Ariette T.,"$4.00
/hr",Data Encoder/ Data Analyst,Philippines
Hendriyono R.,"$25.00
/hr",Finance and Quantitative Analyst,Indonesia
Suneetha V.,"$30.00
/hr",Data and Web Analyst,India
Atif N.,"$12.50
/hr",Financial Analyst / Excel Expert,Pakistan
Rana Faizan A.,"$30.00
/hr",Statistician | Data Analyst,Pakistan
Johnson J.,"$18.00
/hr",Senior Financial Reporting Analyst,Philippines
Joanne R.,"$5.00
/hr","Admin Support, Data Analyst, Project Manager and Electrical Engineer",Philippines
Avishek S.,"$7.00
/hr","Virtual Assistant, Shopify, Data Analyst, Web Researcher etc",India
inayath z.,"$12.50
/hr","Data Analyst, Virtual assistance, web research,website administrator",India
Sonam C.,"$15.00
/hr",Project Manager | Data Analyst | Lead Generator,India
Josephine O.,"$8.00
/hr",Data analyst using R and SPSS Statistical software and Researcher,Kenya
Jonathan Moreno N.,"$30.00
/hr",Data Scientist and Quantitative Analyst,Colombia
Harshit P.,"$35.00
/hr","Data Analyst, Machine learning, RPA",India
Naseem M.,"$15.00
/hr",Financial Analyst / Google Sheet Expert,Pakistan
Muhammad Moin T.,"$5.00
/hr",Telemarketing & Sr. Data Analyst,Pakistan
June Samar A.,"$25.00
/hr",Data Analyst and Excel Specialist,Philippines
